AME-Recommended Nuclide Masses (source: ciaaw.org, 17 Mar 2021, Juris Meija),,,
,,,
nuclide,mass,uncertainty,Year/link
27Ne,27.007249,0.000432,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
27Na,26.993937006,0.000046917,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
27Mg,26.984341198,0.000000976,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
27Al,26.981538601,0.000000758,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
27Si,26.986703929,0.000000804,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
27P,26.999191135,0.000037575,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
28Na,27.998776545,0.000154356,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
28Mg,27.983876751,0.000002277,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
28Al,27.981910248,0.000000759,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
28Si,27.976927110,0.000000681,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
28P,27.992312807,0.000004083,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
28S,28.004436468,0.000171767,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
29Na,29.002829183,0.000161668,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
29Mg,28.988482631,0.000031938,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
29Al,28.980445581,0.000005575,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
29Si,28.976494931,0.000000680,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
29P,28.981803035,0.000001948,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
29S,28.996610462,0.000053677,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
30Na,30.008798147,0.000264530,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
30Mg,29.990229338,0.000228414,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
30Al,29.982939606,0.000042810,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
30Si,29.973770125,0.000000680,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
30P,29.978306660,0.000001827,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
30S,29.984902802,0.000003230,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
30Cl,30.005193,0.000322,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
31Na,31.012679254,0.000621399,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
31Mg,30.995926,0.000435,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
